bishnupriya_manipuri,bengali
অউরি,হই
অ,হও
অর,হয়
অর,হন
অউরি,হচ্ছি
অর,হচ্ছে
অইলু,হলাম
অইলে,হলে
অইল,হলো
অইলু,হয়েছি
অইল,হয়েছে
অসিল,হয়েছিল
অইতৌ,হব
অইতৈ,হবে
অইতে,হতে
অয়া,হয়ে
অনার,হওয়ার
অইতয়,হতো
অইলৈস,হত
করৌরি,করি
করর,করো
করের,করে
করের,করেন
করৌরি,করছি
করের,করছে
করলু,করলাম
করলে,করলে
করল,করল
করেবেল্লু,করেছি
করেসে,করেছে
করেসিল,করেছিল
করতৌ,করব
করতেই,করবে
করতেগা,করতে
করানির,করার
করলু অইস,করতাম
করল অইষ,করত
যাংগা,যাই
যাগা,যাও
যারগা,যায়
যেইরিগা,যায় (স্ত্রীবাচক)
যারগা,যান
গেলুগা,গেলাম
গেলগা,গেল
গেসিলু,গেছি
গেলগা,গেছে
গিয়াসিলগা,গিয়েছিল
যিতৌগা,যাব
যিতৈগা,যাবে
যিতেগা,যেতে
গিয়া,গিয়ে
গেলুগা অইস,যেতাম
আহুরি,আসি
আয়,আসো
আহের,আসে
আহেই,আসেন
আহুরি,আসছি
আহিল,আসছে
আইলু,এলাম
আইল,এল
আহিলু,এসেছি
আহেসিল,এসেছিল
আহিতৌ,আসব
আহিতৈ,আসবে
আহিতে,আসতে
আহিয়া,এসে
আহিলু অইস,আসতাম
মাতুরি,বলি
মাত,বলো
মাতের,বলে
মাতের,বলেন
মাতুরি,বলছি
মাতের,বলছে
মাতলু,বললাম
মাতল,বলল
মাতলু,বলেছি
মাতল,বলেছে
মাতেসিল,বলেছিল
মাততৌ,বলব
মাততৈ,বলবে
মাততে,বলতে
মাতলু অইস,বলতাম
চাওরি,দেখি
চা,দেখো
চেয়া,দেখে
চার,দেখেন
চাওরি,দেখছি
চার,দেখছে
চেইলু,দেখলাম
চেইল,দেখল
চেইলাং,দেখেছি
চেইলা,দেখেছে
চেইতৌ,দেখব
চেইতে,দেখতে
চেইলু অইস,দেখতাম
দেউরি,দিই
দে,দাও
দের,দেয়
দিক,দেন
দেউরি,দিচ্ছি
দরে,দিচ্ছে
দিলু,দিলাম
দিল,দিল
দিলু,দিয়েছি
দিল,দিয়েছে
দিতৌ,দেব
দিতৈ,দেবে
দিতে,দিতে
দিয়া,দিয়ে
দিলু অইস,দিতাম
নেউরিগা,নিই
নেগা,নাও
নেরগা,নেয়
নিকগা,নেন
নেউরিগা,নিচ্ছি
নেরগা,নিচ্ছে
নিলুগা,নিলাম
নিলগা,নিল
নিলুগা,নিয়েছি
নিলগা,নিয়েছে
নিতৌগা,নেব
নিতৌগা,নেবে
নিতেগা,নিতে
নিয়া,নিয়ে
নিলুগা অইস,নিতাম
থাউরি,থাকি
থাক,থাকো
থার,থাকে
থাইক,থাকেন
থাইলু,থাকছি
থাইল,থাকছে
থাইলাং,থাকলাম
থাইলা,থাকল
থাইলাং,থেকেছি
থাইলা,থেকেছে
থাইতৌ,থাকব
থাইতাই,থাকবে
থাইতে,থাকতে
থায়,থেকে
থাইলু অইস,থাকতাম
খাউরি,খাই
খার,খাও
খার,খায়
খার,খান
থাইলু অইস,খাচ্ছি
খার,খাচ্ছে
খার,খেলাম
খার,খেল
খার,খেয়েছি
খার,খেয়েছে
খাউরিতৌ,খাব
খার,খাবে
খার,খেতে
খার,খেয়ে
