bm,bn,en,zh-CN,hi,es,fr
কিসারে কিতা,কেমন আছেন,how are you,你好吗,आप कैसे हैं,Cómo estás,comment vas-tu ?
কিমে কিসাদে,কেমন আছেন,how are you,你好吗,आप कैसे हैं,Cómo estás,comment vas-tu ?
বলি ইসত,কেমন আছেন,how are you,你好吗,आप कैसे हैं,Cómo estás,comment vas-tu ?
বলি ইয়া আসু,ভালো আছি,i am good,我很好,मैं अच्छा हूँ,estoy bien,je vais bien
মি বলি ইয়া আসু,আমি ভালো আছি,i am fine,我没事,मैं ठीक हूँ,estoy bien,je vais bien
মি পাহুরেবেল্লু,আমি ভুলে গেছি,i forgot,我忘了,मैं भूल गया,me olvidé,j'ai oublié
থাকাত,ধন্যবাদ,thank you,谢谢,धन्यवाद,gracias,merci
তোর নাঙহান কিহান,তোমার নাম কী,what is your name,你叫什么名字,आपका क्या नाम है,cómo te llamas,quel est ton nom
তোর কি নাঙ,তোমার নাম কী,what is your name,你叫什么名字,आपका क्या नाम है,cómo te llamas,quel est ton nom
মোর নাঙ অসীম,আমার নাম অসীম,My name is Asim,我的名字是阿西姆,मेरा नाम आसिम है,mi nombre es asim,Je m'appelle Asim
বিয়ানহান ফুইল,ভোর হয়েছে,it's morning,现在是早上,सुबह है,es de mañana,c'est le matin
মি হারপাসু,আমি জানি,i know,我知道,मुझे पता है,lo sé,je sais
মি হারনাপাসু,আমি জানি না,i don't know,我不知道,मुझें नहीं पता,no sé,je ne sais pas
মি তোরে বানা পাউরি,আমি তোমাকে ভালোবাসি,i love you,我爱你,मुझे तुमसे प्यार है,te amo,Je vous aime
মোরে না পাহুরিস,আমাকে ভুলো না,don't forget me,不要忘记我,मुझे मत भूलना,no me olvides,ne m'oublie pas
এহানদে আহিক,এখানে এসো (বিনয়ের সাথে),come here (politely),来这里（礼貌地）,यहाँ आओ (विनम्रता से),ven aquí (cortésmente),viens ici (poliment)
এহানদে আই,এখানে এসো,come here,来这里,यहाँ आओ,ven aquí,venez ici
ওহানদেযাগা,ওখানে যাও,go there,去那里,वहाँ जाएँ,ve allí,allez-y
আমি যারাংগা,আমরা যাচ্ছি,we are going,我们要去,हम जा रहे है,vamos,nous allons
তুমি যিতাউগা,তুমি যাবে,you will go,你会走的,आपको जाना होगा,tu irás,tu iras
তি কুরাং থারগো,তুমি কোথায় থাকো,where do you live,你住在哪里,आप कहाँ रहते हैं,dónde vive,où  habites-tu
মি এবাকা গরে যিতৌগা,আমি এখন বাড়ি যাব,I will go home now,我现在就回家,मुझे अब घर जाना है,me iré a casa ahora,Je vais rentrer à la maison maintenant
পৌ এহান চালাক্ক দিয়াবেঠা,এই সংবাদটি তাড়াতাড়ি পাঠাও,Send this message quickly,快速发送此消息,यह सन्देश जल्दी भेजो,Envía este mensaje rápidamente,Envoyez ce message rapidement
তা মোর মারুপগো,সে আমার বন্ধু,he is my friend,他是我的朋友,वह मेरा दोस्त है,el es mi amigo,c'est mon ami
তর মেইথঙহান জবরে চুনা,তোমার চেহারা ভারি সুন্দর,Your face is very beautiful,你的脸很漂亮,आपका चेहरा बहुत सुन्दर है,tu cara es muy hermosa,Ton visage est très beau
তি মর লগে আহরগো,তুমি কি আমার সঙ্গে যাবে,will you go with me,你愿意和我一起去吗,क्या तुम मेरे साथ चलोगे,¿Irás conmigo?,Veux-tu venir avec moi
তি ইমার ঠার জানরগো,তুমি কি বিষ্ণুপ্রিয়া মণিপুরী ভাষা জান,Do you know Bishnupriya Manipuri language?,你懂 Bishnupriya Manipuri 语言吗？,क्या आप बिष्णुप्रिया मणिपुरी भाषा जानते हैं?,¿Conoces el idioma Bishnupriya Manipuri?,Connaissez-vous la langue Bishnupriya Manipuri ?
রবীন্দ্রনাথর ইকরা মরতা হবা লাগের,রবীন্দ্রনাথের লেখা আমার খুব ভাল লাগে,I like Rabindranath's writing very much,我非常喜欢罗宾德拉纳特的写作,मुझे रवीन्द्रनाथ का लेखन बहुत पसंद है,Me gusta mucho la escritura de Rabindranath.,J'aime beaucoup l'écriture de Rabindranath
হবা লাগিল,ভাল লাগল,I liked it,我喜欢它,अच्छा लगा,me gustó,J'ai aimé
নিয়াম হবা লাগিল,খুব ভাল লাগল,I liked it very much,我非常喜欢它,मुझे बहुत अच्छा लगा,me gustó mucho,J'ai beaucoup aimé
উবাঅনি,দাঁড়ানো,to stand,站立,सहन करना,estar de pie,se tenir debout
উবাঅয়া থাক,দাঁড়িয়ে থাক,stand up,起来,खड़े हो जाओ,ponerse de pie,se lever
উবা অয়া,দাঁড়িয়ে,standing up,站起来,खड़े होना,de pie,debout
উবা অ,দাঁড়াও,stand up,起来,खड़े हो जाओ,ponerse de pie,se lever
উবাঅনি,দাঁড়ানো,to stand,站立,सहन करना,estar de pie,se tenir debout
